Configuracion,Ciclo,Tiempo Total (s),Tokens Entrada,Tokens Salida,Temperature,Top_P,Repeat_Penalty
Config_3_Creativa,52,6.802331447601318,55,60,1.1,0.95,1.4
Config_3_Creativa,53,7.269514799118042,55,60,1.1,0.95,1.4
Config_3_Creativa,54,7.261499404907227,55,60,1.1,0.95,1.4
Config_3_Creativa,55,6.853425025939941,55,60,1.1,0.95,1.4
Config_3_Creativa,56,7.2783424854278564,55,60,1.1,0.95,1.4
Config_3_Creativa,57,7.014475584030151,55,60,1.1,0.95,1.4
Config_3_Creativa,58,6.963089227676392,55,60,1.1,0.95,1.4
Config_3_Creativa,59,6.89980673789978,55,60,1.1,0.95,1.4
Config_3_Creativa,60,7.155399322509766,55,60,1.1,0.95,1.4
Config_3_Creativa,61,6.826527833938599,55,60,1.1,0.95,1.4
Config_3_Creativa,62,6.936717510223389,55,60,1.1,0.95,1.4
Config_3_Creativa,63,7.210638046264648,55,60,1.1,0.95,1.4
Config_3_Creativa,64,6.98135232925415,55,60,1.1,0.95,1.4
Config_3_Creativa,65,7.274674415588379,55,60,1.1,0.95,1.4
Config_3_Creativa,66,7.223542928695679,55,60,1.1,0.95,1.4
Config_3_Creativa,67,6.9560253620147705,55,60,1.1,0.95,1.4
Config_3_Creativa,68,7.171550750732422,55,60,1.1,0.95,1.4
Config_3_Creativa,69,7.0666420459747314,55,60,1.1,0.95,1.4
Config_3_Creativa,70,6.808988094329834,55,60,1.1,0.95,1.4
Config_3_Creativa,71,7.251720428466797,55,60,1.1,0.95,1.4
Config_3_Creativa,72,7.321568965911865,55,60,1.1,0.95,1.4
Config_3_Creativa,73,6.566123962402344,55,60,1.1,0.95,1.4
Config_3_Creativa,74,6.674653053283691,55,60,1.1,0.95,1.4
Config_3_Creativa,75,7.353954792022705,55,60,1.1,0.95,1.4
Config_3_Creativa,76,7.238855600357056,55,60,1.1,0.95,1.4
Config_3_Creativa,77,7.243924617767334,55,60,1.1,0.95,1.4
Config_3_Creativa,78,6.7700512409210205,55,60,1.1,0.95,1.4
Config_3_Creativa,79,6.899357318878174,55,60,1.1,0.95,1.4
Config_3_Creativa,80,7.176839828491211,55,60,1.1,0.95,1.4
Config_3_Creativa,81,7.221559047698975,55,60,1.1,0.95,1.4
Config_3_Creativa,82,6.755563020706177,55,60,1.1,0.95,1.4
Config_3_Creativa,83,7.019006967544556,55,60,1.1,0.95,1.4
Config_3_Creativa,84,7.313654184341431,55,60,1.1,0.95,1.4
Config_3_Creativa,85,6.887325286865234,55,60,1.1,0.95,1.4
Config_3_Creativa,86,7.187917709350586,55,60,1.1,0.95,1.4
Config_3_Creativa,87,7.059473037719727,55,60,1.1,0.95,1.4
Config_3_Creativa,88,6.973042726516724,55,60,1.1,0.95,1.4
Config_3_Creativa,89,7.2418293952941895,55,60,1.1,0.95,1.4
